,$$$,BTC,DOGE,LTC,$PAC,USDT,1337,300,42,611,808,8BIT,ABC,ABY,AC3,ACC,ADA,ADC,ADST,ALIS,ALL,AMN,AMP,ANI,ANON
$$$,0.0,1.1e-07,0.10197139,1.093e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,7692307.692307692,0.0,1204819.2771084337,118.4178896274218,2272727.2727272725,6347.40000013,0.0,26.837726758662818,0.2942033986965024,39603.960396039605,0.0,131233.59580052493,361.1164275474056,2325581.395348837,169204.7377326565,192678.2273603083,85689.8029134533,7692307.692307692,32819.16639317361,118764.8456057007,1219512.1951219512,4347826.0869565215,146842.87812041116,4000000.0,11877.89523696401
DOGE,6.300181338119455,8.2e-07,0.0,9.735e-05,1.9197719986625335,0.00523039,85.494199218583,0.0,2.2622449657739091e-07,0.011952500240524645,7142.857142857143,0.1381490212525208,0.0,1.9801980198019802,0.0,0.0,0.06983012631867629,4.753589375917888,0.0,0.0,0.0,0.0,0.0,2.880311009070013,0.009434007245675492
LTC,50050.05005005006,0.00843855,10214.50459652707,0.0,19623.233908948194,53.68549637,840336.1344537815,0.0,0.0,0.0,50000000.0,1371.2906587680325,0.0,0.0,0.0,0.0,694.1214851423296,0.0,0.0,0.0,0.0,37453.183520599254,0.0,31847.133757961787,90.81835511611581
$PAC,0.0,4.3e-07,0.50883511,5.003e-05,0.0,0.00259519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDT,0.0,0.00015678896205707118,189.27600037098094,0.018449836994739986,357.97002359022457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1337,0.0,0.0,0.01130032,1.12e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.03306536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,3.39000002,3687939.0000298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,0.0,2.111e-05,21.0000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
808,0.0,0.0,0.000139,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8BIT,0.0,6.04e-06,5.157992,0.00047861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABC,0.0,0.00220218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABY,0.0,4e-07,0.42847781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC3,0.0,5.66e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACC,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADA,0.0,1.163e-05,14.03001663,0.00135346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADC,0.0,1.1e-07,0.13000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADST,0.0,3.026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIS,0.0,7.26e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,0.0,6.8e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMN,0.0,2e-07,0.0,2.21e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMP,0.0,6.15e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANI,0.0,2.3e-07,0.16071195,2.489e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON,0.0,8.279e-05,101.00000018,0.00946937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
